prop_006|casa|venta|Bogota|320000|4|180|disponible|catalina|
prop_021|apartamento|venta|Manizales|112000|3|85|vendida|luis|luis
prop_039|oficina|venta|Armenia|185000|0|95|disponible|carmen|
prop_007|apartamento|venta|Armenia|95000|2|70|disponible|esteban|
prop_034|casa|venta|Cali|285000|4|165|disponible|sergio|
prop_003|casa|venta|Medellin|180000|4|200|disponible|admin|
prop_009|local|venta|Manizales|210000|0|95|disponible|francisco|
prop_022|oficina|arriendo|Armenia|2800|0|90|arrendada|alejandro|luis
prop_002|apartamento|arriendo|Bogota|1500|2|65|disponible|admin|
prop_019|local|venta|Pereira|190000|0|100|disponible|pablo|
prop_015|casa|arriendo|Manizales|1200|4|160|disponible|josefina|
prop_018|apartamento|arriendo|Medellin|1100|2|55|disponible|isabel|
prop_036|local|venta|Manizales|175000|0|88|disponible|isabel|
prop_035|apartamento|arriendo|Armenia|750|1|38|disponible|andrea|
prop_032|apartamento|venta|Medellin|105000|2|68|disponible|rosa|
prop_010|oficina|arriendo|Bogota|3200|0|110|disponible|sofia|
prop_041|apartamento|venta|Manizales|1000000000000000000000000|22|20000000000|disponible|catalina|
prop_004|local|arriendo|Cali|2000|0|80|disponible|admin|
prop_025|apartamento|venta|Armenia|78000|1|40|disponible|esteban|
prop_005|oficina|venta|Pereira|120000|0|55|disponible|admin|
prop_030|local|venta|Armenia|135000|0|65|disponible|manuel|
prop_027|oficina|venta|Cali|160000|0|70|disponible|francisco|
prop_031|casa|arriendo|Pereira|1400|4|190|disponible|mariana|
prop_020|casa|arriendo|Cali|2200|3|155|disponible|rodrigo|
prop_024|local|arriendo|Bogota|4000|0|120|disponible|victor|
prop_001|casa|venta|Armenia|250000|3|120|disponible|admin|
prop_017|casa|venta|Bogota|430000|5|250|disponible|andrea|
prop_038|apartamento|venta|Pereira|92000|2|58|disponible|alejandro|
prop_011|apartamento|arriendo|Pereira|900|1|45|disponible|mariana|
prop_008|casa|arriendo|Cali|1800|3|140|disponible|diana|
prop_014|apartamento|venta|Cali|88000|2|60|disponible|manuel|
prop_040|casa|arriendo|Medellin|1900|3|150|disponible|victor|
prop_028|apartamento|arriendo|Bogota|2100|2|75|disponible|sofia|
prop_026|casa|arriendo|Medellin|1600|3|135|disponible|diana|
prop_037|casa|arriendo|Bogota|2600|5|220|disponible|pablo|
prop_013|local|arriendo|Medellin|2500|0|75|disponible|gabriel|
prop_023|casa|venta|Pereira|265000|4|175|disponible|carmen|
prop_012|casa|venta|Armenia|175000|3|130|disponible|rosa|
prop_033|oficina|arriendo|Bogota|3800|0|130|disponible|gabriel|
prop_029|casa|venta|Manizales|198000000|3|145|disponible|catalina|
prop_016|oficina|arriendo|Armenia|1450000000|0|80|disponible|luis|luis
