2026-05-20|yesuu|esteban|prop_001|gracias por la venta la casa es muy buena
2026-05-20|esteban|yesuu|prop_001|esteban (respuesta): con mucho gusto
2026-05-20|yesuu|esteban|prop_001|gracias por la casa
2026-05-20|esteban|yesuu|prop_001|esteban (respuesta): dale
2026-05-20|yesuu|esteban|prop_001|hola
2026-05-20|carlos|manuel|prop_004|Hola necesito saber que si el apartamento sigue en reserva
2026-05-20|Alejito|alejandro|prop_042|HOlaaaaa
2026-05-20|alejandro|Alejito|prop_042|alejandro (respuesta): holaaaaaaaaaaaaaaaaaaaaaaa
2026-05-24|Alejito|victor|prop_051|hola como esta para hacer un descuento?
2026-05-24|victor|Alejito|prop_051|hola no hago descuentos
2026-05-25|luis|josefina|prop_51|hola mensaje de prueba 
2026-05-25|josefina|luis|prop_51|hola respuesta de prueba
